Date,Price,Open,High,Low,Vol.,Change %
2000-01-03,1455.2,1469.2,1478.0,1438.4,,-0.95%
2000-01-04,1399.4,1455.2,1455.2,1397.4,,-3.83%
2000-01-05,1402.1,1399.4,1413.3,1377.7,,0.19%
2000-01-06,1403.5,1402.1,1411.9,1392.0,,0.10%
2000-01-07,1441.5,1403.5,1441.5,1400.5,,2.71%
2000-01-08,1441.5,1403.5,1441.5,1400.5,,2.71%
2000-01-09,1441.5,1403.5,1441.5,1400.5,,2.71%
2000-01-10,1457.6,1441.5,1464.4,1441.5,,1.12%
2000-01-11,1438.6,1457.6,1458.8,1434.4,,-1.30%
2000-01-12,1432.2,1439.1,1445.3,1427.3,,-0.44%
2000-01-13,1449.7,1432.2,1454.6,1432.2,,1.22%
2000-01-14,1465.2,1449.7,1473.0,1449.7,,1.07%
2000-01-15,1465.2,1449.7,1473.0,1449.7,,1.07%
2000-01-16,1465.2,1449.7,1473.0,1449.7,,1.07%
2000-01-17,1465.2,1449.7,1473.0,1449.7,,1.07%
2000-01-18,1455.1,1465.2,1465.2,1451.2,,-0.69%
2000-01-19,1455.9,1455.1,1462.2,1448.7,,0.05%
2000-01-20,1445.6,1455.9,1465.6,1438.6,,-0.71%
2000-01-21,1441.4,1445.6,1452.8,1439.5,,-0.29%
2000-01-22,1441.4,1445.6,1452.8,1439.5,,-0.29%
2000-01-23,1441.4,1445.6,1452.8,1439.5,,-0.29%
2000-01-24,1401.5,1441.4,1454.2,1395.4,,-2.77%
2000-01-25,1410.0,1401.5,1414.3,1388.5,,0.61%
2000-01-26,1404.1,1410.0,1412.5,1400.1,,-0.42%
2000-01-27,1398.6,1404.1,1419.0,1380.5,,-0.39%
2000-01-28,1360.2,1398.6,1398.6,1356.1,,-2.75%
2000-01-29,1360.2,1398.6,1398.6,1356.1,,-2.75%
2000-01-30,1360.2,1398.6,1398.6,1356.1,,-2.75%
2000-01-31,1394.5,1360.2,1394.5,1350.0,,2.52%
2000-02-01,1409.3,1394.5,1412.6,1384.8,,1.06%
2000-02-02,1409.1,1409.3,1420.5,1403.2,,-0.01%
2000-02-03,1425.0,1409.1,1425.8,1398.5,,1.13%
2000-02-04,1424.4,1425.0,1436.0,1420.5,,-0.04%
2000-02-05,1424.4,1425.0,1436.0,1420.5,,-0.04%
2000-02-06,1424.4,1425.0,1436.0,1420.5,,-0.04%
2000-02-07,1424.2,1424.4,1427.2,1413.3,,-0.01%
2000-02-08,1441.7,1424.2,1442.0,1424.2,,1.23%
2000-02-09,1411.7,1443.3,1444.4,1411.6,,-2.08%
2000-02-10,1416.8,1411.7,1422.0,1406.4,,0.36%
2000-02-11,1387.1,1416.8,1416.8,1379.2,,-2.10%
2000-02-12,1387.1,1416.8,1416.8,1379.2,,-2.10%
2000-02-13,1387.1,1416.8,1416.8,1379.2,,-2.10%
2000-02-14,1389.9,1387.1,1394.9,1380.5,,0.20%
2000-02-15,1402.0,1389.9,1407.8,1376.2,,0.87%
2000-02-16,1387.7,1402.0,1404.7,1385.6,,-1.02%
2000-02-17,1388.3,1387.7,1399.8,1380.1,,0.04%
2000-02-18,1346.1,1388.3,1388.3,1345.3,,-3.04%
2000-02-19,1346.1,1388.3,1388.3,1345.3,,-3.04%
2000-02-20,1346.1,1388.3,1388.3,1345.3,,-3.04%
2000-02-21,1346.1,1388.3,1388.3,1345.3,,-3.04%
2000-02-22,1352.2,1346.1,1358.1,1332.0,,0.45%
2000-02-23,1360.7,1352.2,1370.1,1342.4,,0.63%
2000-02-24,1353.4,1360.7,1364.5,1329.9,,-0.54%
2000-02-25,1333.4,1353.4,1362.1,1329.1,,-1.48%
2000-02-26,1333.4,1353.4,1362.1,1329.1,,-1.48%
2000-02-27,1333.4,1353.4,1362.1,1329.1,,-1.48%
2000-02-28,1348.0,1333.4,1360.8,1325.0,,1.09%
2000-02-29,1366.4,1348.0,1369.5,1348.0,,1.36%
2000-03-01,1379.2,1366.4,1383.0,1366.4,,0.94%
2000-03-02,1381.8,1379.2,1386.9,1370.3,,0.19%
2000-03-03,1409.2,1381.8,1410.9,1381.8,,1.98%
2000-03-04,1409.2,1381.8,1410.9,1381.8,,1.98%
2000-03-05,1409.2,1381.8,1410.9,1381.8,,1.98%
2000-03-06,1391.3,1409.2,1409.8,1384.8,,-1.27%
2000-03-07,1355.6,1391.3,1399.6,1349.6,,-2.57%
2000-03-08,1366.7,1355.6,1373.6,1346.5,,0.82%
2000-03-09,1401.7,1366.7,1401.8,1357.8,,2.56%
2000-03-10,1395.1,1401.7,1413.4,1392.1,,-0.47%
2000-03-11,1395.1,1401.7,1413.4,1392.1,,-0.47%
2000-03-12,1395.1,1401.7,1413.4,1392.1,,-0.47%
2000-03-13,1383.6,1395.1,1398.5,1365.3,,-0.82%
2000-03-14,1359.2,1383.6,1395.3,1359.1,,-1.76%
2000-03-15,1392.2,1359.2,1398.0,1357.0,,2.43%
2000-03-16,1458.5,1392.2,1458.5,1392.2,,4.76%
2000-03-17,1464.5,1458.5,1476.6,1453.2,,0.41%
2000-03-18,1464.5,1458.5,1476.6,1453.2,,0.41%
2000-03-19,1464.5,1458.5,1476.6,1453.2,,0.41%
2000-03-20,1456.6,1464.5,1470.2,1448.4,,-0.54%
2000-03-21,1493.9,1456.6,1493.9,1446.0,,2.56%
2000-03-22,1500.6,1493.9,1505.0,1487.4,,0.45%
2000-03-23,1527.3,1500.6,1532.1,1493.8,,1.78%
2000-03-24,1527.5,1527.3,1553.1,1516.8,,0.01%
2000-03-25,1527.5,1527.3,1553.1,1516.8,,0.01%
2000-03-26,1527.5,1527.3,1553.1,1516.8,,0.01%
2000-03-27,1523.9,1527.5,1534.7,1518.6,,-0.24%
2000-03-28,1507.7,1523.9,1527.2,1507.2,,-1.06%
2000-03-29,1508.5,1507.7,1521.4,1497.3,,0.05%
2000-03-30,1487.9,1508.5,1517.4,1474.6,,-1.37%
2000-03-31,1498.6,1487.9,1519.8,1484.5,,0.72%
2000-04-01,1498.6,1487.9,1519.8,1484.5,,0.72%
2000-04-02,1498.6,1487.9,1519.8,1484.5,,0.72%
2000-04-03,1506.0,1498.6,1507.1,1487.1,,0.49%
2000-04-04,1494.7,1506.0,1526.2,1417.2,,-0.75%
2000-04-05,1487.4,1494.7,1506.5,1478.1,,-0.49%
2000-04-06,1501.3,1487.4,1511.8,1487.4,,0.93%
2000-04-07,1516.3,1501.3,1518.7,1501.3,,1.00%
2000-04-08,1516.3,1501.3,1518.7,1501.3,,1.00%
2000-04-09,1516.3,1501.3,1518.7,1501.3,,1.00%
2000-04-10,1504.5,1516.3,1527.1,1503.0,,-0.78%
2000-04-11,1500.6,1504.5,1512.8,1486.8,,-0.26%
2000-04-12,1467.2,1500.6,1510.6,1466.2,,-2.23%
2000-04-13,1440.5,1467.2,1477.4,1440.3,,-1.82%
2000-04-14,1356.6,1440.5,1440.5,1339.4,,-5.82%
2000-04-15,1356.6,1440.5,1440.5,1339.4,,-5.82%
2000-04-16,1356.6,1440.5,1440.5,1339.4,,-5.82%
2000-04-17,1401.4,1356.6,1401.5,1346.7,,3.30%
2000-04-18,1441.6,1401.4,1441.6,1397.6,,2.87%
2000-04-19,1427.5,1441.6,1447.7,1425.3,,-0.98%
2000-04-20,1434.5,1427.5,1435.4,1422.0,,0.49%
2000-04-21,1434.5,1427.5,1435.4,1422.0,,0.49%
2000-04-22,1434.5,1427.5,1435.4,1422.0,,0.49%
2000-04-23,1434.5,1427.5,1435.4,1422.0,,0.49%
2000-04-24,1429.9,1434.5,1434.5,1407.2,,-0.32%
2000-04-25,1477.4,1429.9,1477.7,1429.9,,3.32%
2000-04-26,1461.0,1477.4,1482.8,1457.3,,-1.11%
2000-04-27,1464.9,1461.0,1469.1,1434.8,,0.27%
2000-04-28,1452.4,1464.9,1473.4,1448.5,,-0.85%
2000-04-29,1452.4,1464.9,1473.4,1448.5,,-0.85%
2000-04-30,1452.4,1464.9,1473.4,1448.5,,-0.85%
2000-05-01,1468.2,1452.4,1481.4,1452.4,,1.09%
2000-05-02,1446.3,1468.2,1468.2,1445.1,,-1.49%
2000-05-03,1415.1,1446.3,1446.3,1398.4,,-2.16%
2000-05-04,1409.6,1415.1,1420.5,1405.0,,-0.39%
2000-05-05,1432.6,1409.6,1435.9,1405.2,,1.63%
2000-05-06,1432.6,1409.6,1435.9,1405.2,,1.63%
2000-05-07,1432.6,1409.6,1435.9,1405.2,,1.63%
2000-05-08,1424.2,1432.6,1432.6,1416.9,,-0.59%
2000-05-09,1412.1,1424.2,1429.8,1401.9,,-0.85%
2000-05-10,1383.0,1412.1,1412.1,1375.2,,-2.06%
2000-05-11,1407.8,1383.0,1410.2,1383.0,,1.79%
2000-05-12,1421.0,1407.8,1430.2,1407.8,,0.94%
2000-05-13,1421.0,1407.8,1430.2,1407.8,,0.94%
2000-05-14,1421.0,1407.8,1430.2,1407.8,,0.94%
2000-05-15,1452.4,1421.0,1452.4,1417.0,,2.21%
2000-05-16,1466.0,1452.4,1470.4,1450.8,,0.94%
2000-05-17,1447.8,1466.0,1466.0,1441.6,,-1.24%
2000-05-18,1437.2,1447.8,1458.0,1436.7,,-0.73%
2000-05-19,1407.0,1437.2,1437.2,1401.7,,-2.10%
2000-05-20,1407.0,1437.2,1437.2,1401.7,,-2.10%
2000-05-21,1407.0,1437.2,1437.2,1401.7,,-2.10%
2000-05-22,1400.7,1407.0,1410.3,1368.6,,-0.45%
2000-05-23,1373.9,1400.7,1403.8,1373.4,,-1.91%
2000-05-24,1399.0,1373.9,1401.4,1361.2,,1.83%
2000-05-25,1381.5,1399.0,1411.9,1374.0,,-1.25%
2000-05-26,1378.0,1381.5,1391.5,1369.8,,-0.25%
2000-05-27,1378.0,1381.5,1391.5,1369.8,,-0.25%
2000-05-28,1378.0,1381.5,1391.5,1369.8,,-0.25%
2000-05-29,1378.0,1381.5,1391.5,1369.8,,-0.25%
2000-05-30,1422.5,1378.0,1422.5,1377.8,,3.23%
2000-05-31,1420.6,1422.4,1434.6,1415.4,,-0.13%
2000-06-01,1448.8,1420.6,1448.8,1420.6,,1.99%
2000-06-02,1477.3,1448.8,1483.4,1448.8,,1.97%
2000-06-03,1477.3,1448.8,1483.4,1448.8,,1.97%
2000-06-04,1477.3,1448.8,1483.4,1448.8,,1.97%
2000-06-05,1467.6,1477.3,1477.3,1464.7,,-0.66%
2000-06-06,1457.8,1467.6,1471.3,1454.8,,-0.67%
2000-06-07,1471.4,1457.8,1474.6,1455.2,,0.93%
2000-06-08,1461.7,1471.4,1475.6,1456.5,,-0.66%
2000-06-09,1457.0,1461.7,1472.7,1454.9,,-0.32%
2000-06-10,1457.0,1461.7,1472.7,1454.9,,-0.32%
2000-06-11,1457.0,1461.7,1472.7,1454.9,,-0.32%
2000-06-12,1446.0,1457.0,1463.0,1446.0,,-0.75%
2000-06-13,1469.4,1446.0,1470.4,1442.5,,1.62%
2000-06-14,1470.5,1469.4,1483.6,1467.8,,0.07%
2000-06-15,1478.7,1470.5,1482.0,1464.5,,0.56%
2000-06-16,1464.5,1478.7,1481.0,1460.3,,-0.96%
2000-06-17,1464.5,1478.7,1481.0,1460.3,,-0.96%
