,Date,Close,Open,High,Low,Vol.,Change %
0,2010-01-31,1084.0833333333333,1078.4633333333334,1091.736666666667,1073.1233333333334,,
1,2010-02-28,1111.97,1104.6066666666666,1113.1533333333332,1102.76,,
2,2010-03-31,1169.43,1171.75,1174.56,1165.77,,-0.33%
3,2010-04-30,1186.69,1206.77,1207.99,1186.32,,-1.66%
4,2010-05-31,1075.385,1091.1225,1096.725,1073.6125000000002,,
5,2010-06-30,1030.71,1040.56,1048.08,1028.33,,-1.01%
6,2010-07-31,1109.6866666666665,1101.47,1113.3933333333334,1094.5166666666669,,
7,2010-08-31,1049.33,1046.88,1055.14,1040.88,,0.04%
8,2010-09-30,1141.2,1145.97,1157.16,1136.08,,-0.31%
9,2010-10-31,1184.006666666667,1185.0966666666666,1192.36,1178.3333333333337,,
10,2010-11-30,1180.55,1182.96,1187.4,1174.14,,-0.61%
11,2010-12-31,1257.64,1256.76,1259.34,1254.19,,-0.02%
12,2011-01-31,1286.12,1276.5,1287.17,1276.5,,0.77%
13,2011-02-28,1327.22,1321.61,1329.38,1320.55,,0.56%
14,2011-03-31,1325.83,1327.44,1329.77,1325.03,,-0.18%
15,2011-04-30,1362.8133333333333,1361.8300000000002,1366.5666666666666,1358.6566666666668,,
16,2011-05-31,1345.2,1331.1,1345.2,1331.1,,1.06%
17,2011-06-30,1320.64,1307.64,1321.97,1307.64,,1.01%
18,2011-07-31,1288.72,1295.1,1306.3066666666668,1277.44,,
19,2011-08-31,1218.89,1213.0,1230.71,1209.35,,0.49%
20,2011-09-30,1131.42,1159.93,1159.93,1131.34,,-2.50%
21,2011-10-31,1253.3,1284.96,1284.96,1253.16,,-2.47%
22,2011-11-30,1246.96,1196.72,1247.11,1196.72,,4.33%
23,2011-12-31,1262.465,1261.83,1269.245,1257.81,,
24,2012-01-31,1312.41,1313.53,1321.41,1306.69,,-0.05%
25,2012-02-29,1365.68,1372.2,1378.04,1363.81,,-0.47%
26,2012-03-31,1411.993333333333,1405.03,1414.72,1402.4333333333334,,
27,2012-04-30,1397.91,1403.26,1403.26,1394.0,,-0.39%
28,2012-05-31,1310.33,1313.09,1319.74,1298.9,,-0.23%
29,2012-06-30,1363.2766666666666,1340.8566666666666,1363.5633333333333,1338.6466666666663,,
30,2012-07-31,1379.32,1385.27,1387.16,1379.17,,-0.43%
31,2012-08-31,1406.58,1400.07,1413.09,1398.96,,0.51%
32,2012-09-30,1443.2166666666667,1442.9766666666667,1453.8033333333335,1439.1333333333334,,
33,2012-10-31,1412.16,1410.99,1418.76,1405.95,,0.02%
34,2012-11-30,1416.18,1415.95,1418.86,1411.63,,0.02%
35,2012-12-31,1426.19,1402.43,1426.74,1398.11,,1.69%
36,2013-01-31,1498.11,1501.96,1504.19,1496.76,,-0.26%
37,2013-02-28,1514.68,1515.99,1525.34,1514.46,,-0.09%
38,2013-03-31,1563.9250000000002,1567.6,1570.4975,1559.1225,,
39,2013-04-30,1597.57,1593.58,1597.57,1586.5,,0.25%
40,2013-05-31,1630.74,1652.13,1658.99,1630.74,,-1.43%
41,2013-06-30,1612.0666666666666,1610.2266666666667,1623.0533333333333,1606.8733333333332,,
42,2013-07-31,1685.73,1687.76,1698.43,1684.94,,-0.01%
43,2013-08-31,1634.67,1638.1550000000002,1642.8975,1629.39,,
44,2013-09-30,1681.55,1687.26,1687.26,1674.99,,-0.60%
45,2013-10-31,1756.54,1763.24,1768.53,1755.72,,-0.38%
46,2013-11-30,1804.1733333333332,1807.9766666666667,1812.3733333333328,1802.1866666666667,,
47,2013-12-31,1848.36,1842.61,1849.44,1842.41,,0.40%
