iter	Passed	Remaining
403	9709	2307
404	9732	2283
405	9756	2258
406	9780	2234
407	9803	2210
408	9827	2186
409	9853	2162
410	9876	2138
411	9900	2114
412	9924	2090
413	9948	2066
414	9971	2042
415	9995	2018
416	10018	1994
417	10018	1965
418	10041	1941
419	10066	1917
420	10089	1893
421	10114	1869
422	10138	1845
423	10162	1821
424	10186	1797
425	10210	1773
426	10233	1749
427	10257	1725
428	10280	1701
429	10313	1678
430	10338	1655
431	10362	1631
432	10385	1607
433	10409	1582
434	10433	1558
435	10456	1534
436	10480	1510
437	10503	1486
438	10527	1462
439	10550	1438
440	10574	1414
441	10597	1390
442	10621	1366
443	10644	1342
444	10667	1318
445	10691	1294
446	10714	1270
447	10737	1246
448	10761	1222
449	10785	1198
450	10808	1174
451	10831	1150
452	10854	1126
453	10878	1102
454	10901	1078
455	10925	1054
456	10949	1030
457	10973	1006
458	10999	982
459	11023	958
460	11047	934
461	11071	910
462	11095	886
463	11119	862
464	11143	838
465	11167	814
466	11191	790
467	11215	766
468	11239	742
469	11263	718
470	11288	695
471	11322	671
472	11346	647
473	11370	623
474	11394	599
475	11418	575
476	11441	551
477	11465	527
478	11488	503
479	11512	479
480	11535	455
481	11559	431
482	11582	407
483	11606	383
484	11629	359
485	11653	335
486	11677	311
487	11701	287
488	11724	263
489	11748	239
490	11772	215
491	11795	191
492	11819	167
493	11843	143
494	11866	119
495	11890	95
496	11913	71
497	11936	47
498	11960	23
499	11983	0
