iter	RMSE
0	3.68739081
1	2.698435769
2	1.991517073
3	1.4995951
4	1.146858443
5	0.9166783249
6	0.7670105347
7	0.6643715912
8	0.5903337752
9	0.5356276723
10	0.4886072253
11	0.4602232455
12	0.4313382456
13	0.3971780676
14	0.3764793217
15	0.3523376733
16	0.3330416346
17	0.3109673261
18	0.2949727709
19	0.2782823898
20	0.267452586
21	0.2574468309
22	0.2490997371
23	0.2378164475
24	0.2269724686
25	0.2147378898
26	0.1991112777
27	0.1929674638
28	0.1860824932
29	0.1738838521
30	0.1652755085
31	0.1609450561
32	0.1520500563
33	0.1480954177
34	0.1449714485
35	0.140667574
36	0.134545705
37	0.1306818815
38	0.1285206531
39	0.1262306712
40	0.1247303497
41	0.1232881161
42	0.1181675991
43	0.117551436
44	0.1151844706
45	0.1119911445
46	0.1107523761
47	0.1090363173
48	0.1083624543
49	0.1073346556
50	0.1066204238
51	0.1033501889
52	0.1014138792
53	0.1002884945
54	0.09841677811
55	0.09700697848
56	0.09518841762
57	0.09478640786
58	0.09358042355
59	0.0924667028
60	0.0918485825
61	0.09097707776
62	0.08977483708
63	0.08842436245
64	0.08760626899
65	0.08687339625
66	0.08594583946
67	0.08531151747
68	0.08488949258
69	0.08458411966
70	0.08351605264
71	0.08252060044
72	0.08226025649
73	0.08200525683
74	0.08185191771
75	0.08090398045
76	0.08040417238
77	0.07984104289
78	0.07973122049
79	0.07913101539
80	0.07854956663
81	0.07805997472
82	0.07774669859
83	0.07732856356
84	0.07673912406
85	0.07653410094
86	0.07591430623
87	0.07556798588
88	0.07542802733
89	0.07536858915
90	0.07514227602
91	0.075052955
92	0.07496291251
93	0.07459373792
94	0.0741837264
95	0.07362321842
96	0.0732987657
97	0.07285821262
98	0.07255144871
99	0.07228355458
100	0.07195632928
101	0.07144731922
102	0.07117644175
103	0.0707762612
104	0.07065653762
105	0.07059261455
106	0.07037941123
107	0.07007568895
108	0.07000444959
109	0.06991481396
110	0.06960740824
111	0.0693771855
112	0.06909807962
113	0.06896898141
114	0.06876866404
115	0.0686202258
116	0.06841812815
117	0.06830700303
118	0.0682736635
119	0.0679764993
120	0.06776200733
121	0.06747819026
122	0.06726931393
123	0.06700284238
124	0.0669689118
125	0.06672156369
126	0.06664402623
127	0.06649612317
128	0.06635651162
129	0.06617086235
130	0.06600591145
131	0.06591972872
